TEAM,WT,LT,TIE_PC,PT_DIFF,Wins,Losses,WP,EXPECTED_WIN,EXPECTED_WP,WT_v_WP,WT_v_EXP_WP
ATL,0.2859722222222222,0.6500694444444444,0.06395833333333337,-8.6,2,3,0.4,21.4,0.26097560975609757,-0.11402777777777784,0.024996612466124613
BOS,0.6741666666666667,0.28791666666666665,0.03791666666666667,7.1,2,3,0.4,57.7,0.7036585365853659,0.27416666666666667,-0.02949186991869923
BRK,0.07034722222222223,0.8860416666666666,0.043611111111111114,-14.2,0,5,0.0,13.6,0.16585365853658537,0.07034722222222223,-0.09550643631436315
CHI,0.57421875,0.35885416666666664,0.06692708333333333,9.0,4,0,1.0,61.9,0.7548780487804878,-0.42578125,-0.1806592987804878
CHO,0.43298611111111107,0.5231944444444444,0.04381944444444443,4.1,2,2,0.5,50.7,0.6182926829268293,-0.06701388888888893,-0.1853065718157182
CLE,0.6961805555555556,0.256875,0.046944444444444476,1.8,3,2,0.6,45.5,0.5548780487804879,0.0961805555555556,0.14130250677506773
DAL,0.22861111111111115,0.7272222222222222,0.04416666666666667,-7.9,1,3,0.25,21.8,0.2658536585365854,-0.021388888888888846,-0.037242547425474226
DEN,0.7753242924528302,0.18803721174004195,0.03663849580712786,9.1,2,1,0.667,60.7,0.7402439024390244,0.10832429245283015,0.03508039001380581
DET,0.29291666666666666,0.6548611111111111,0.05222222222222224,0.6,3,2,0.6,42.6,0.5195121951219512,-0.3070833333333333,-0.22659552845528458
GSW,0.6724795971847859,0.2759789607666966,0.051541442048517565,7.2,4,1,0.8,57.7,0.7036585365853659,-0.12752040281521415,-0.03117893940058003
HOU,0.6710578304597701,0.25427741858237546,0.07466475095785438,8.6,2,2,0.5,60.0,0.7317073170731707,0.17105783045977008,-0.06064948661340064
IND,0.19909003831417624,0.7010895593869731,0.09982040229885059,-12.0,0,3,0.0,15.1,0.18414634146341463,0.19909003831417624,0.014943696850761606
LAC,0.33701388888888884,0.6215972222222221,0.04138888888888892,-4.9,2,2,0.5,29.0,0.35365853658536583,-0.16298611111111116,-0.016644647696477
LAL,0.3252083333333333,0.6146527777777778,0.06013888888888894,2.1,2,2,0.5,46.1,0.5621951219512196,-0.17479166666666668,-0.23698678861788625
MEM,0.3302083333333333,0.6311111111111111,0.038680555555555586,-6.0,2,2,0.5,27.1,0.3304878048780488,-0.16979166666666667,-0.00027947154471547053
MIA,0.7496527777777778,0.18659722222222222,0.06374999999999997,17.0,3,1,0.75,73.1,0.8914634146341462,-0.0003472222222221655,-0.1418106368563684
MIL,0.48888888888888893,0.40750000000000003,0.10361111111111107,6.1,3,1,0.75,55.3,0.674390243902439,-0.26111111111111107,-0.18550135501355003
MIN,0.3470833333333333,0.6055555555555555,0.04736111111111112,-6.4,2,2,0.5,26.3,0.3207317073170732,-0.1529166666666667,0.02635162601626012
NOP,0.18400484800838576,0.7813237028301887,0.03467144916142556,-12.9,0,3,0.0,13.9,0.16951219512195123,0.18400484800838576,0.014492652886434532
NYK,0.5240972222222222,0.3819444444444445,0.09395833333333332,-0.5,2,2,0.5,39.6,0.4829268292682927,0.024097222222222214,0.04117039295392949
OKC,0.5533080186097428,0.38887520525451563,0.05781677613574167,7.7,5,0,1.0,59.7,0.7280487804878049,-0.44669198139025723,-0.1747407618780621
ORL,0.2584722222222222,0.67875,0.06277777777777778,-9.2,1,4,0.2,20.0,0.24390243902439024,0.0584722222222222,0.014569783197831976
PHI,0.4966904699510832,0.4590332372466806,0.04427629280223618,5.3,4,0,1.0,52.9,0.6451219512195122,-0.5033095300489168,-0.14843148126842903
PHO,0.10599056603773585,0.8524882075471698,0.04152122641509435,-11.5,1,3,0.25,16.7,0.20365853658536584,-0.14400943396226415,-0.09766797054762999
POR,0.6584027777777778,0.2788194444444444,0.0627777777777778,4.6,2,2,0.5,52.5,0.6402439024390244,0.15840277777777778,0.018158875338753377
SAC,0.6302777777777778,0.3117361111111111,0.05798611111111116,-5.3,1,4,0.2,28.0,0.34146341463414637,0.4302777777777778,0.28881436314363146
SAS,0.8576978511530399,0.10602332285115304,0.03627882599580714,15.6,4,0,1.0,71.5,0.8719512195121951,-0.14230214884696013,-0.01425336835915525
TOR,0.3343055555555555,0.6084722222222222,0.057222222222222216,-5.2,1,4,0.2,28.8,0.351219512195122,0.1343055555555555,-0.016913956639566463
UTA,0.7617040094339622,0.17259237421383647,0.06570361635220126,11.1,2,1,0.667,65.0,0.7926829268292683,0.09470400943396218,-0.030978917395306116
WAS,0.5546593291404612,0.4099868972746331,0.03535377358490568,-8.6,1,3,0.25,21.4,0.26097560975609757,0.30465932914046123,0.29368371938436366
