,TEAM,WT,LT,TIE_PC,WP,PT_DIFF,EXPECTED_WIN,EXPECTED_WP,WT_v_WP,WT_v_EXP_WP
0,ATL,0.512354013195122,0.440655759402439,0.04699022740243903,0.5,0.1,41.2,0.5024390243902439,0.012354013195121971,0.009914988804878067
1,BOS,0.6278717724756098,0.3162953768292683,0.05583285069512195,0.695,6.9,57.2,0.6975609756097562,-0.06712822752439018,-0.0696892031341464
2,BRK,0.48881514608536586,0.4569580265487805,0.05422682736585365,0.549,1.0,43.5,0.5304878048780488,-0.060184853914634184,-0.04167265879268295
3,CHI,0.46617897860975605,0.4759311447804878,0.0578898766097561,0.488,1.3,44.2,0.5390243902439025,-0.021821021390243944,-0.07284541163414643
4,CHO,0.3361307707195122,0.6126458050243903,0.05122342425609756,0.329,-6.2,25.9,0.31585365853658537,0.0071307707195121806,0.020277112182926826
5,CLE,0.5326876218658536,0.415922533304878,0.05138984482926829,0.622,5.8,55.0,0.6707317073170732,-0.08931237813414639,-0.1380440854512196
6,DAL,0.4563175991829268,0.4837457633658537,0.05993663745121951,0.463,0.3,41.7,0.5085365853658537,-0.00668240081707322,-0.05221898618292686
7,DEN,0.5477945876219512,0.3988614210853659,0.053343991292682934,0.646,3.8,50.1,0.6109756097560975,-0.0982054123780488,-0.06318102213414634
8,DET,0.26898111321951224,0.6784959647560975,0.05252292202439025,0.207,-8.6,21.2,0.25853658536585367,0.061981113219512246,0.01044452785365857
9,GSW,0.47709883286585364,0.4702846773414634,0.05261648979268293,0.537,2.4,46.9,0.5719512195121951,-0.059901167134146394,-0.09485238664634144
10,HOU,0.32594605204878047,0.6180773584878049,0.05597658946341463,0.268,-8.6,21.3,0.2597560975609756,0.05794605204878045,0.06618995448780485
11,IND,0.367607666,0.5762358906707317,0.056156443329268294,0.427,-4.1,31.2,0.3804878048780488,-0.05939233399999999,-0.012880138878048786
12,LAC,0.46597838240243905,0.47081047795121955,0.06321113964634147,0.537,-0.3,40.2,0.49024390243902444,-0.07102161759756098,-0.024265520036585386
13,LAL,0.46044256624390245,0.47929210958536583,0.060265324170731716,0.524,0.4,42.1,0.5134146341463415,-0.06355743375609757,-0.052972067902439024
14,MEM,0.628304922804878,0.3193286770731707,0.05236640012195123,0.622,5.0,53.2,0.6487804878048781,0.006304922804878044,-0.02047556500000003
15,MIA,0.45742013728048775,0.4735623753780488,0.06901748734146342,0.537,-0.1,40.8,0.49756097560975604,-0.07957986271951228,-0.04014083832926829
16,MIL,0.6135479728780487,0.33579595696341463,0.050656070158536584,0.707,4.4,51.9,0.6329268292682927,-0.09345202712195122,-0.019378856390243948
17,MIN,0.5429892788170732,0.3973816836951219,0.059629037487804876,0.512,0.5,42.3,0.5158536585365854,0.03098927881707314,0.02713562028048777
18,NOP,0.504927903,0.44819669742682927,0.04687539957317074,0.512,1.8,45.6,0.5560975609756098,-0.007072096999999999,-0.051169657975609795
19,NYK,0.5399396442560975,0.40194922876829264,0.058111126975609766,0.573,3.4,49.3,0.6012195121951219,-0.033060355743902425,-0.0612798679390244
20,OKC,0.4245494243902439,0.5159317899634146,0.05951878564634146,0.488,0.6,42.6,0.5195121951219512,-0.06345057560975609,-0.09496277073170734
21,ORL,0.4077572927926829,0.5376382178292682,0.054604489378048786,0.415,-2.4,34.9,0.42560975609756097,-0.007242707207317067,-0.017852463304878052
22,PHI,0.5171383730853658,0.424783262292683,0.05807836462195121,0.659,4.3,51.4,0.6268292682926829,-0.14186162691463422,-0.10969089520731712
23,PHO,0.546711935,0.3968638946707317,0.05642417032926829,0.549,1.3,44.2,0.5390243902439025,-0.002288065000000006,0.007687544756097564
24,POR,0.4287081511463415,0.5137829485609756,0.05750890029268293,0.402,-3.8,31.8,0.3878048780487805,0.026708151146341452,0.04090327309756098
25,SAC,0.4902303947560976,0.4498109774512195,0.059958627792682934,0.585,2.4,46.8,0.5707317073170731,-0.09476960524390238,-0.08050131256097554
26,SAS,0.3237324848780488,0.6255208911951219,0.05074662392682928,0.268,-9.9,19.0,0.23170731707317074,0.05573248487804877,0.09202516780487804
27,TOR,0.5111115904634146,0.4365155379024391,0.05237287163414634,0.5,1.5,44.8,0.5463414634146341,0.011111590463414589,-0.03522987295121949
28,UTA,0.4114920489146341,0.5329764438780488,0.05553150720731706,0.451,-0.9,38.9,0.474390243902439,-0.03950795108536592,-0.06289819498780491
29,WAS,0.4849982582804878,0.46351402309756096,0.05148771862195123,0.427,-1.7,36.9,0.44999999999999996,0.057998258280487824,0.03499825828048786
