,TEAM,WT,LT,TIE_PC,PT_DIFF,W,L,WP,EXPECTED_WIN,EXPECTED_WP,WT_v_WP,WT_v_EXP_WP
0,ATL,0.4379203216608187,0.5009320175555555,0.061147660783625726,3.2,7,7,0.5,48.7,0.5939024390243903,-0.06207967833918132,-0.15598211736357165
1,BOS,0.7269081935635221,0.2206551362609364,0.052436670175541586,11.3,12,3,0.8,65.8,0.8024390243902438,-0.07309180643647795,-0.07553083082672174
2,BRK,0.3925347221984127,0.5458333333650793,0.06163194443650795,-1.0,6,8,0.429,38.5,0.4695121951219512,-0.036465277801587315,-0.07697747292353851
3,CHI,0.24417379125039307,0.6958476644702568,0.05997854427935011,-5.4,5,11,0.312,27.8,0.33902439024390246,-0.06782620874960693,-0.0948505989935094
4,CHO,0.23727491389637614,0.7154279911570829,0.0472970949465409,-7.1,5,9,0.35700000000000004,24.6,0.30000000000000004,-0.1197250861036239,-0.0627250861036239
5,CLE,0.5375127907768793,0.3903560821656184,0.07213112705750228,-1.2,8,7,0.5329999999999999,38.0,0.4634146341463415,0.004512790776879383,0.07409815663053781
6,DAL,0.4461061508015873,0.4987599206428572,0.055133928555555545,2.8,9,5,0.643,47.7,0.5817073170731708,-0.19689384919841274,-0.13560116627158353
7,DEN,0.6250694444296295,0.3291203703259259,0.045810185244444475,3.1,10,5,0.667,48.6,0.5926829268292683,-0.04193055557037051,0.032386517600361264
8,DET,0.33208333326666667,0.6221990740814815,0.04571759265185185,-7.9,2,13,0.133,22.3,0.27195121951219514,0.19908333326666666,0.06013211375447153
9,GSW,0.4413115827944095,0.47173654778714186,0.08695186941844867,0.4,7,8,0.467,42.0,0.5121951219512195,-0.025688417205590508,-0.07088353915681
10,HOU,0.5344042291111111,0.4083489558205128,0.05724681506837611,6.3,7,6,0.5379999999999999,56.6,0.6902439024390244,-0.0035957708888888495,-0.15583967332791338
11,IND,0.4776864035614035,0.4639619883040936,0.058351608134502915,0.5,8,6,0.5710000000000001,42.2,0.5146341463414634,-0.09331359643859655,-0.03694774278005991
12,LAC,0.5004726340221624,0.4362023622421384,0.06332500373569935,4.4,6,7,0.462,52.1,0.6353658536585366,0.03847263402216233,-0.13489321963637424
13,LAL,0.4896847234153938,0.46909940604122985,0.04121587054337627,0.5,9,6,0.6,42.3,0.5158536585365854,-0.11031527658460616,-0.02616893512119156
14,MEM,0.2233893725707144,0.7263747781504596,0.050235849278826,-6.0,3,11,0.214,26.3,0.3207317073170732,0.0093893725707144,-0.09734233474635878
15,MIA,0.6630704364761905,0.2823412698492064,0.054588293674603196,2.3,10,5,0.667,46.7,0.5695121951219513,-0.003929563523809576,0.09355824135423918
16,MIL,0.5334821428650793,0.4107390872619048,0.05577876987301587,1.8,10,5,0.667,45.4,0.5536585365853658,-0.1335178571349207,-0.020176393720286456
17,MIN,0.5660807876212938,0.37964725598637317,0.05427195639233305,8.6,11,3,0.7859999999999999,61.3,0.7475609756097561,-0.21991921237870615,-0.18148018798846233
18,NOP,0.6059490740148148,0.36037037031111113,0.03368055567407408,-1.7,8,7,0.5329999999999999,36.7,0.4475609756097561,0.07294907401481487,0.15838809840505869
19,NYK,0.6122612847291666,0.3347222221666667,0.05301649310416669,4.7,8,6,0.5710000000000001,52.6,0.6414634146341464,0.04126128472916657,-0.029202129904979723
20,OKC,0.6305808251449536,0.3159886005813118,0.053430574273734655,9.3,11,4,0.733,62.2,0.7585365853658537,-0.10241917485504637,-0.12795576022090005
21,ORL,0.7585069444646465,0.1982638888737374,0.04322916666161618,4.9,10,5,0.667,53.2,0.6487804878048781,0.09150694446464647,0.10972645665976843
22,PHI,0.4606898584627882,0.47855509694905657,0.06075504458815515,7.5,10,5,0.667,58.4,0.7121951219512195,-0.20631014153721183,-0.2515052634884313
23,PHO,0.7322829896950178,0.21824069829722073,0.04947631200776146,3.3,8,6,0.5710000000000001,49.1,0.598780487804878,0.16128298969501775,0.1335025018901398
24,POR,0.14300590314013018,0.7977990869176873,0.05919500994218254,-11.3,3,11,0.214,15.8,0.1926829268292683,-0.07099409685986982,-0.04967702368913812
25,SAC,0.551833913532944,0.4047188529314166,0.04344723353563946,-1.2,8,6,0.5710000000000001,38.0,0.4634146341463415,-0.019166086467056087,0.08841927938660249
26,SAS,0.3355161654930556,0.6199521750779612,0.044531659428983225,-12.2,3,12,0.2,15.0,0.18292682926829268,0.13551616549305556,0.1525893362247629
27,TOR,0.2956202416504469,0.6623620765730994,0.04201768177645372,-1.3,7,8,0.467,37.6,0.4585365853658537,-0.1713797583495531,-0.16291634371540675
28,UTA,0.2505148467988506,0.7099622844660919,0.03952286873505749,-6.6,4,10,0.28600000000000003,25.6,0.3121951219512195,-0.03548515320114942,-0.0616802751523689
29,WAS,0.3481570512393163,0.6082532051196581,0.043589743641025636,-10.5,2,12,0.14300000000000002,18.2,0.22195121951219512,0.20515705123931627,0.12620583172712116
